objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit,exhibitionlabel
2002-3-1 A-I,2002.3.1-A-I_f3_20240805,,,Mark Twain Halmark Collars,"Hall, Hartwell & Co. ",,"A-B- Box and Lid: Yellow box 10"" x 3 1/2"" x 3 1/2"" Yellow Lid 10 1/4"" x 3 3/4"" x 1"". Lid has water damage on left 1/4 of lid. Lid has Black stamp with reproduction of MT signiture and under that ""Halmark Hall, Hartwell & C0., Troy Laundry Shrunk - Semi-Soft Collar"". Box has no markings except on one short side with stamp indicating League Brand, and there were a dozen collars in box. The stamp also says ""No. J140 15"" C- Pink striped collar in celophane wrapper. Collar is stripped pink, black, and brown. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side. E- Blue Collar. Color is striped with blue, pink and green. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side. G- Pink and Grey Collar. Collar is striped with shades of pink and grey. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side. I- Red collar. Collar is striped with red and black. Background of collar looks discolored, but after further investigation, it appears to be purposefully that beige color. There is staining on left side from tag, three black spots aprox 3 1/4"", 2"", and 1"" from the side of colored side of collar. Total Length is 17 1/2"" and it is 2"" wide. On inside of collar it indicates it is made for side 15"" neck, and is stamped ""Par Excellence J140 It has 4 Button holes 2 on one side, one in the middle, and one on the other side.",Social; Identity; Cultural; Fashion; Clothing; Economic; Manufacturing,Samuel L. Clemens; Hall Hartwell & co,,,,The Mark Twain House & Museum,2002.3.1 A-I,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House and Museum, Museum Purchase",
2007-7-1,,,,Hand Fan,Fan: Alexandre; Shadow Box: Deck the Walls,,"White lace foldable hand fan with white pearl handle. It is in shadow box. Shadow box measures 25"" x 15 1/2"" x 2 1/2"". The box is wired for hanging and has a Deck the Walls makers sticker on it. There is also a label in French on the back, It reads that the brand of fan is Alexandre ""Old Fans"" ""Modern Fans"" Russia, England, Holland. ",Social;Gender;Cultural;Fashion;Adornment,Olivia L. Clemens,,,,Mark Twain House and Museum,2007.7.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Marguerite Leary Conway",
2007-7-2 A-B,,,,Soup Tureen with Lid,Spade Felspar,,"Porcelin soup tureen with lid. Inside of lid is stamped in pink ""Spade Felspar Porcelin."" Lid has fruit and leif motif to use as handle, and a notch for a spoon (not included). Lid is about 9 1/4"" wide at base. It has a maroon stripe around bottom edge and a gold inlayed basket weave design on rim to carry over to base. on the top there is also a double crown and halbred motiv on either side of handle. The base has two basket-like andles on either side with a floral/vine motif in gold. this design carries onto the for footed legs. The crown design is on both non-handled sides. there is a maroon stripe mimiking the one on the lid near the top of bowl. From Handle to handle it measures 13"", is 8"" tall and the basin is aprox. 6"" deep. total height including the lid is aprox. 12""",Social;Cultural,Samuel L. Clemens,,,,Mark Twain House and Museum,2007.7.2 A-B,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Marguerite Leary Conway",
2010-2-1,no,,,Mark Twain House,Diana Wythe Tyler,1987,,Culture; Arts; Visual Arts; Painting; Environment; Built Environment; Buildings/Architecture,Diana Wythe Tyler,,41.76705545,-72.70141583,The Mark Twain House & Museum,2010.2.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Musuem, Gift of Eloise Robinson",
2012-15-1,yes,,,Embroidered Boy Scout of America Patch,,,,Culture; Arts; Visual Arts; Environment; Built Environment; Buildings/Architecture; Social; Clubs/Organizations; Scouting; Fashion; Adornment;  ,,,41.76705545,-72.70141583,The Mark Twain House & Museum,2012.15.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of the Connecticut Rivers Council",A 2012 Connecticut Rivers Council of the Friends of Scouting patch with the Mark Twain House embroidered on the front.
2012-312-171,2012.312.171.jpeg,,,Building lots on Asylum Hill,Printed by E.B. & E.C. Kellogg,Before 1867,,,,,,,Connecticut Museum of Culture and History,2012.312.171,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",Image courtesy of Connecticut Museum of Culture and History collection,
2013-20-1,2013.20.1_f_20240805,,,Ribbon from the Hartford Battalion Welcoming Ulysses S. Grant to Hartford ,Hartford Battalion,10/16/1880,,Political; Memory & Commemoration; Cultural,Ulysses S. Grant,,,,The Mark Twain House & Museum,2013.20.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Museum Purchase.",
2013-20-1,2013.20.1_b_20240805,,,Ribbon from the Hartford Battalion Welcoming Ulysses S. Grant to Hartford ,Hartford Battalion,10/16/1880,,Political; Memory & Commemoration; Cultural,Ulysses S. Grant,,,,The Mark Twain House & Museum,2013.20.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Museum Purchase.",
2013-22-1,2013.22.1_f1_20231018,,,Cufflinks,Dwight H. Buell,,,Economic; Industry; Business; Cultural; Fashion; Adornment,Dwight H. Buell; Samuel L. Clemens,"State House Square, Hartford, CT",41.76647725,-72.67232611,The Mark Twain House & Museum,2013.22.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Alice C. Townes and Col. James E. Townes, Jr.",
2013-22-1,2013.22.1_f2_20231018,,,Cufflinks,Dwight H. Buell,,,Economic; Industry; Business; Cultural; Fashion; Adornment,Dwight H. Buell; Samuel L. Clemens,"State House Square, Hartford, CT",41.76647725,-72.67232611,The Mark Twain House & Museum,2013.22.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Alice C. Townes and Col. James E. Townes, Jr.",
2013-22-1,2013.22.1_f3_20231018,,,Cufflinks,Dwight H. Buell,,,Economic; Industry; Business; Cultural; Fashion; Adornment,Dwight H. Buell; Samuel L. Clemens,"State House Square, Hartford, CT",41.76647725,-72.67232611,The Mark Twain House & Museum,2013.22.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Museum, Gift of Alice C. Townes and Col. James E. Townes, Jr.",
2013-22-1,2013.22.1_f2_20231018,,,Cufflinks,Dwight H. Buell,,,,,,,,2013.22.1,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum, Gift of Alice C. Townes and Col. James E. Townes, Jr.",,
2017-12-1,no,,,Mark Twain Memorial Ashtray,Mark Twain Memorial,,,Culture; Socail; Economic; Consumer; Environment; Built Environment; Buildings/Architecture,,,41.76705545,-72.70141583,The Mark Twain House & Museum,2017.12.1,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",,"The Mark Twain House & Musuem, Gift of Laura VanDin and Andrea Easton","Glass ashtray with black illustration of the Mark Twain House on bottom with the text ""Mark Twain Memorial"" underneath the house. Each corner has a cigarette holder notch in it. "
